Skill,Schema,intro-gpt,intro-gemini,articles-gpt,articles-gemini,activities-gpt,activities-gemini
Monitoring and supervision,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
Encouraging decision-making,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
Supporting problem-solving skills,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
Technology Use,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
Financial Management,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
Expectations for school performance,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
Fairness of expectations,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
Setting goals for behavior and conduct,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
Social Connections,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
Encouragement of extracurricular activities,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
Participation in school-related activities,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
Spending time together in recreational activities,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
Environmental Awareness,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
Consistency in applying rules,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
Predictability in responses to behavior,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
Stability in emotional reactions,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
Predictability in emotional availability,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
Adapting parenting strategies as children grow,Parent ,"Generate an article on how Parents in the Indian Context can improve <skill> in their <age> year old child. Explain what <skill> is and why it is relevant. It needs to captivate and motivate parents to learn more about the skill. Use a witty and engaging title. Both the content and title needs to be appropriate for the age group. End this article asking parents to stay tuned for more articles on the theme. The article needs to be of 300 words. It needs to excite the parent and child. Do not use the age group in the title. Avoid the use of unnecessary sub headings. Do not use Hindi. Do not highlight strategies here, just highlight importance and relevance in a way that makes parent excited to revisit the platform again.",Make the <article> more engaging and exciting for the Indian parents with children in that age group. Keep the word count to 300 words.,"Generate 4 engaging articles on how parents of <age> year olds of Indian Households can improve <skill> in themselves. The article should start with an anecdote like ‘Picture this’ outlining a relevant, relatable problem that parents experience in that area in a narrative format. Ensure that the anecdote is short, witty in capturing the attention of the parent. Each article has a catchy, attention grabbing title of relevance to the theme. Describe strategies and easy-to-implement, actionable steps in detail that parents can take to master this skill in themselves, including one thing they can do that day. Conclude with a funny remark that underscores the importance of the skill. It should have a warm, affectionate and friendly tone. 
Each of the articles should be engaging, conversational, easy to read, free of jargon, yet backed by science, and be of maximum 250 words in length. 

","Reframe <article> to make it more engaging and interesting. Detail the strategies more by explaining the examples in a line or two, avoid the use of unnecessary sub headings. Make it relevant for the Indian Parents, avoid the use of Hindi. The tone of the article needs to be empathetic, conversational and warm. Keep the word count to 250 words.",,
